"Day","Weekday","Date_NO","Platform","Format","Pool","Visual_Script","Caption_NO","CTA"
"44","Onsdag","29. juli","Instagram","Single Photo","KLINIKK","Varm klinikk-portrett – lege med notatblokk (ansikt fra siden/ikke identifiserbart). Tekst: «Eksperthjelp. Nær deg.» Neurobelle-logo. Terrakotta ramme.","Du fortjener en lege som lytter. Hos Neurobelle tar vi oss tid. 🩺","Book din time: neurobelleklinikk.com/bestill-time"
"45","Torsdag","30. juli","Instagram","Story","AVIDA","Mintgrønn story. Stor statistikk: «1 av 7 nordmenn har migrene.» Swipe for mer info. AVIDA-stil, ingen ansikter.","Er du én av dem? 🧠 Det finnes hjelp – sveip for å lese mer.","Swipe → neurobelleklinikk.com"
"46","Fredag","31. juli","Google Posts","Google Post","KLINIKK","Digital resept illustrasjon – apotek-ikon og telefon-skjerm. Rent design.","Trenger du reseptfornyelse? Neurobelle tilbyr digital konsultasjon og umiddelbar e-resept. Hent på ditt nærmeste apotek – samme dag.","neurobelleklinikk.com/bestill-time"
"47","Lørdag","1. august","Instagram + Facebook","Reel 9:16","KLINIKK","KLINIKK reel: Telehealth-dag-i-livet – morgenrutine → laptop åpnes → legetime → tilbake til arbeidsdag. Tekst: «Legetime på 20 minutter – uten å forlate kontoret.» VO kaviyan PRO – separat lydfil.","Noen dager er det bare ikke tid til å sitte på venteværelse. 💻 Vi forstår det. Kom til oss – digitalt. 🕐","neurobelleklinikk.com/bestill-time"
"48","Søndag","2. august","Instagram + Facebook","Carousel","AVIDA","6-slide: «Kosthold og nevrologisk helse» S1 Sunn mat-stock hook. S2 Omega-3 og hjernefunksjon. S3 Sitat: «Du spiser deg til en friskere hjerne.» S4 Bær, nøtter, fisk. S5 Hva unngå: sukker, transfett, alkohol. S6 CTA.","Det du spiser i dag påvirker hjernen din i morgen. 🥦🧠 5 matvarer nevrologer anbefaler – sveip 👉","Slide 6 → neurobelleklinikk.com/bestill-time"
"49","Mandag","3. august","Facebook","Single Photo","KLINIKK","Høst-stemning nærmer seg – skogens farger. Terrakotta tekstboks: «Ny sesong – god tid for en helsesjekk.» Neurobelle-logo.","August = perfekt tidspunkt for en helsesjekk før høsten starter. 🍂 Book en time i dag.","neurobelleklinikk.com/bestill-time"
"50","Tirsdag","4. august","Instagram","Story","KLINIKK","Countdown-story: «Book time innen fredag – få time neste uke!» Timer-sticker. Terrakotta bg. Urgency-element.","Ikke utsett helsen 🧡 Timer er tilgjengelig nå – sveip opp!","Swipe opp → neurobelleklinikk.com/bestill-time"
"51","Onsdag","5. august","Instagram + Facebook","Single Photo","AVIDA","Ren infographic: 3-kolonne-layout – Søvn · Kosthold · Bevegelse = Hjerneoptimalisering. Ikoner, mint bg. Ingen ansikter. Neurobelle-logo.","Tre pilarer for optimal hjernehelse. 🧠 Enkelt i teorien – men krever bevissthet. Hvilken pilar jobber du med?","💡 Vil du ha hjelp? neurobelleklinikk.com/bestill-time"
"52","Torsdag","6. august","Google Posts","Google Post","KLINIKK","Klinikk-team / interiørbilde, varm belysning. Oslo-setting. Neurobelle-logo.","Neurobelle Klinikk – sentralt i Oslo, Arbeidersamfunnetsplass 1. Tilgjengelig for konsultasjon på klinikk eller via video. Bestill nå.","neurobelleklinikk.com/bestill-time"
"53","Fredag","7. august","Instagram + Facebook","Reel 9:16","AVIDA","AVIDA reel: «Hypertensjon og hjernen» – Animert infographic. Blodtrykksmåler visualisert. Nevrologisk risiko forklart. Ingen ansikter. VO kaviyan PRO – separat lydfil.","Høyt blodtrykk skader ikke bare hjertet – det skader hjernen din. 🧠⚠️ Dette bør du vite.","neurobelleklinikk.com/bestill-time"
"54","Lørdag","8. august","Instagram + Facebook","Carousel","AVIDA","6-slide: «5 tegn på at du bør oppsøke nevrolog» S1 Tegn-hook. S2 Vedvarende hodepine. S3 Sitat: «Kroppen snakker – lær å lytte.» S4 Nummenhet/skjelving stock-foto. S5 Hukommelsesproblemer, koordinasjon, synsforstyrrelse. S6 CTA.","Kroppen gir signaler. Ikke ignorer dem. 🧠 5 symptomer som betyr det er tid for nevrologisk hjelp – sveip 👉","Slide 6 → neurobelleklinikk.com/bestill-time"
"55","Søndag","9. august","Instagram","Story","AVIDA","Fakta-popup story: «Essensiell tremor rammer 1% av befolkningen.» Stor statistikk, mint bg. Swipe for mer.","Skjelvinger er vanligere enn du tror – og det finnes hjelp 🤝 Sveip for info.","Swipe → neurobelleklinikk.com"
"56","Mandag","10. august","Instagram + Facebook","Reel 9:16","AVIDA","R7 – SEIGMENN GLEMT MEDISIN [STORYBOARD] | Sc.1: Blå figurer på campingtur – en oppdager tom medisinboks. Bekymret ansikt-ikon. | Sc.2: Figuren henter telefon. Online legeapp åpnes – blå-figur-lege svarer. | Sc.3: Digital resept-ikon blinker. Figuren smiler. | Sc.4: Figur tilbake ved bål – god stemning. Tekst: «Ferien reddet – takket være digital resept.» | On-screen: «Neurobelle – alltid tilgjengelig» + logo. VO separat lydfil.","Glemt medisinen på campingtur? 😅 Ikke en katastrofe lenger. Se hvordan Neurobelle fikser det. Animasjonsreel – kommer snart!","neurobelleklinikk.com/bestill-time"
"57","Tirsdag","11. august","Facebook","Single Photo","KLINIKK","Klart høstlys. Kaffekopp og laptop på bord. Tekst: «Hjemme-lege – klar for deg.» Terrakotta bar. Neurobelle-logo.","Høsten starter. Og med den: mer tid inne. Perfekt for en digital legekonsultasjon ☕💻","Book online: neurobelleklinikk.com/bestill-time"
"58","Onsdag","12. august","Instagram + Facebook","Carousel","KLINIKK","6-slide: «Hvordan foregår en videokonsultasjon?» S1 Person med laptop hook. S2 Steg 1: Book online. S3 Sitat: «Enklere enn å ringe fastlegen.» S4 Steg 2: Koble til lege. S5 Steg 3: Resept, råd, plan. S6 CTA.","Aldri prøvd videokonsultasjon? Det er enklere enn du tror. 💻 Vi guider deg gjennom det – sveip 👉","Slide 6 → neurobelleklinikk.com/bestill-time"
"59","Torsdag","13. august","Instagram","Story","KLINIKK","Terrakotta bg. Tekst: «Vi er her for deg – uansett om du er i Oslo eller Tromsø.» Swipe-sticker til booking-side.","Neurobelle er nasjonal via video 🌍 – og lokal på klinikken i Oslo. Bestill i dag.","Swipe → booking"
"60","Fredag","14. august","Google Posts","Google Post","AVIDA","Infographic-stil: Forebyggende helse-tips. Rent AVIDA-design. Neurobelle-logo.","Forebygg før det blir akutt: Neurobelle tilbyr forebyggende helsekonsultasjoner for nevrologisk helse, blodsukker og livsstil. Tilgjengelig online og i klinikk.","neurobelleklinikk.com/bestill-time"
"61","Lørdag","15. august","Instagram + Facebook","Reel 9:16","AVIDA","AVIDA reel: «Hva er essensiell tremor?» Tekst-animasjon + illustrasjoner av håndbevegelser. Infographic-stil. Ingen ansikter. VO kaviyan PRO – separat lydfil.","Skjelvende hender – er det Parkinson? Ikke nødvendigvis. 🤝 Lær forskjellen. Essensiell tremor er den vanligste årsaken – og det finnes hjelp.","neurobelleklinikk.com/bestill-time"
"62","Søndag","16. august","Instagram + Facebook","Single Photo","AVIDA","Illustrasjon: hjerne med fargelagte funksjonelle områder. Mint bg. Ingen ansikter. Tekst (Montserrat): «Nevrologi er ikke komplisert – den er fascinerende.»","Hjernen kontrollerer alt – men vi tenker sjelden på dens helse. 🧠 En nevrologisk sjekk kan gi svar du ikke visste du trengte.","neurobelleklinikk.com/bestill-time"
"63","Mandag","17. august","Instagram","Story","AVIDA","Quiz-story: «Hva er normalt fastende blodsukker?» Firevalgspoll. Edukativt AVIDA-innhold. Swipe for fasit.","Vet du svaret? 🩸 Sjekk pollsvaret – og bestill blodprøve om du er usikker.","Swipe → neurobelleklinikk.com"
"64","Tirsdag","18. august","Instagram + Facebook","Carousel","AVIDA","6-slide: «Alt du bør vite om vaksiner for voksne» S1 Vaksine-ikon hook. S2 Hvilke voksenvaksiner finnes. S3 Sitat: «Vaksinen beskytter deg – og de rundt deg.» S4 Reisevaksine-stock. S5 Oppdateringsintervall / hvorfor viktig. S6 CTA Neurobelle.","Barnevaksinene er fine – men voksenvaksiner er like viktige! 💉 Sjekk hva du muligens mangler – sveip 👉","Slide 6 → neurobelleklinikk.com/bestill-time"
"65","Onsdag","19. august","Facebook","Single Photo","KLINIKK","Person på klinikk-gang, ryggen til (anonymt). Varm, trygg atmosfære. Tekst overlay: «Du er hjertelig velkommen.» Neurobelle-logo.","Noen ganger er det bare godt å snakke med noen som virkelig lytter. Det er vi her for. 🩺🧡","neurobelleklinikk.com/bestill-time"
"66","Torsdag","20. august","Google Posts","Google Post","KLINIKK","Lege med digital enhet – illustrativ. Oslo klinikk-setting. Neurobelle-logo.","Trenger du en second opinion? Neurobelle tilbyr nevrologisk spesialistvurdering i Oslo – uten lang ventetid. Bestill i dag.","neurobelleklinikk.com/bestill-time"
"67","Fredag","21. august","Instagram + Facebook","Reel 9:16","KLINIKK","KLINIKK reel: «Pasientsikkerhet og personvern» – Animert infographic om GDPR og medisinsk konfidensialitet. Bygger tillit. Ingen ansikter. VO kaviyan PRO – separat lydfil.","Sensitiv helseinformasjon? Hos Neurobelle er alt 100% konfidensielt og GDPR-sikret. 🔒 Trygghet er ikke bare et løfte – det er loven.","neurobelleklinikk.com/bestill-time"
"68","Lørdag","22. august","Instagram + Facebook","Carousel","KLINIKK","6-slide: «Vanlige spørsmål om telehelse» S1 Spørsmål-hook. S2 «Er det like bra som fysisk konsultasjon?». S3 Sitat: «Teknologi bringer legen til deg.» S4 Hva trenger du (kamera + nett). S5 FAQ-liste: Pris / Resept / Sykmelding / Oppfølging. S6 CTA.","Har du spørsmål om videokonsultasjon? Vi svarer på de vanligste – sveip 👉 💻","Slide 6 → neurobelleklinikk.com/bestill-time"
"69","Søndag","23. august","Instagram","Story","KLINIKK","Terrakotta bg. «Sommer nærmer seg slutten – men Neurobelle er alltid åpen. 🌿 Book høstens helsesjekk!» Swipe-sticker.","Ikke vent til du blir syk. Forebygg nå 🍂","Swipe → booking"
"70","Mandag","24. august","Instagram + Facebook","Reel 9:16","AVIDA","R8 – SEIGMENN BLODSUKKER [STORYBOARD] | Sc.1: Blå figurer med blodsukker-kurve over hodet – visuelt opp-ned. | Sc.2: Figurene ser slitne ut, kurven ustabil. | Sc.3: Figur booker konsultasjon hos Neurobelle (ikon). | Sc.4: Livsstilsplan vises. Kurven flater ut. Figurene glade og energiske. | On-screen: «Neurobelle – kontroller blodsukkeret» + logo. VO separat lydfil.","Blodsukker-berg og daler ødelegger hverdagen. 🩸 Men det kan reguleres. Se serien om de blå figurene – animasjonsreel kommer snart!","neurobelleklinikk.com/bestill-time"
"71","Tirsdag","25. august","Instagram + Facebook","Single Photo","AVIDA","Rent design: hjerne-ikon + hjerte-ikon koblet med linje. Mint bg. Tekst (Playfair Display): «Mental og fysisk helse henger alltid sammen.» Neurobelle-logo. Ingen ansikter.","Nevrologi er ikke bare hjernen. Det er humøret, søvnen, energien, kroppen. 🧠❤️ Se hele deg.","neurobelleklinikk.com/bestill-time"
"72","Onsdag","26. august","Instagram + Facebook","Carousel","AVIDA","6-slide: «Livsstil og nevrologisk aldring» S1 Aktiv senior (silhouett/rygg). S2 Hva akselererer hjernealdring. S3 Sitat: «Det er aldri for sent å ta bedre valg.» S4 Aktiv eldre person outdoors (stock, rygg til). S5 Tips: søvn, kosthold, sosial aktivitet, læring, bevegelse. S6 CTA.","Hjernen din eldes – men du bestemmer tempoet. 🧠⏳ Sveip for 5 livsstilsgrep som beskytter nevrologisk helse inn i alderdommen 👉","Slide 6 → neurobelleklinikk.com/bestill-time"
"73","Torsdag","27. august","Google Posts","Google Post","KLINIKK","Klinikk-interiør, høststemning. Varme farger. Neurobelle-logo fremtredende.","Høsten er i gang – og Neurobelle er klar for deg. Bestill nevrologisk konsultasjon, helsesjekk eller videolege på klinikk eller online. Arbeidersamfunnetsplass 1, Oslo.","neurobelleklinikk.com/bestill-time"
"74","Fredag","28. august","Instagram + Facebook","Single Photo","KLINIKK","Klinikk-bilde varm belysning. Terrakotta ramme. Tekst (Playfair Display): «75 dager, én misjon: din helse.» Neurobelle-logo sentrum.","Vi har vært her for deg – og vi fortsetter. 🧡 Neurobelle Klinikk: nevrologi, telehelse og forebygging – alltid tilgjengelig.","Book neste time: neurobelleklinikk.com/bestill-time"
"75","Lørdag","29. august","Instagram + Facebook","Reel 9:16","KLINIKK","Avsluttende klipp-montasje: nevrologi-bilde → telehealth-bilde → forebyggingstips (3 kjappe klipp fra de tre søylene). Terrakotta fade-outro. Tekst: «Neurobelle – alltid her for deg.» VO-montasje kaviyan PRO – separat lydfil.","Fra forebygging til utredning og behandling – Neurobelle er med deg på hele helsereisen. 🧠🌿💻 Takk for at du følger oss.","🌿 Bestill time: neurobelleklinikk.com/bestill-time"
